# file...... output/s_in.csv
# date...... Fri Apr 22 11:04:33 2022
# user...... nathangray
# host...... (null)
# target.... meter 418
# trigger... (none)
# interval.. 1
# limit..... 0
# timestamp,measured_power.real,measured_power.imag,measured_power_A.real,measured_power_A.imag,measured_power_B.real,measured_power_B.imag,measured_power_C.real,measured_power_C.imag
2001-08-01 12:03:57 PDT,+2628796.8706,+2177999.4444,+1096897.90186,+829181.703869,+687962.925273,+651347.02904,+843936.043466,+697470.711488
2001-08-01 12:03:58 PDT,+2628796.8706,+2177999.4444,+1096897.90186,+829181.703869,+687962.925273,+651347.02904,+843936.043466,+697470.711488
2001-08-01 12:03:59 PDT,+2628796.8706,+2177999.4444,+1096897.90186,+829181.703869,+687962.925273,+651347.02904,+843936.043466,+697470.711488
2001-08-01 12:04:00 PDT,+2778358.53906,+2176875.86814,+1147004.70517,+828714.769776,+737431.024756,+651095.498846,+893922.809127,+697065.599516
2001-08-01 12:04:01 PDT,+2778358.59937,+2176876.17111,+1147004.928,+828715.61692,+737430.977154,+651094.997454,+893922.694222,+697065.556737
2001-08-01 12:04:02 PDT,+2778358.57824,+2176876.06523,+1147004.84803,+828715.315037,+737430.994945,+651095.179364,+893922.735263,+697065.570834
2001-08-01 12:04:03 PDT,+2778358.58574,+2176876.10271,+1147004.87672,+828715.422711,+737430.988359,+651095.113638,+893922.720659,+697065.566364
2001-08-01 12:04:04 PDT,+2778358.58306,+2176876.08937,+1147004.86643,+828715.384302,+737430.990783,+651095.137327,+893922.725846,+697065.567742
2001-08-01 12:04:05 PDT,+2778358.58402,+2176876.09413,+1147004.87012,+828715.398,+737430.989894,+651095.128803,+893922.724005,+697065.567328
2001-08-01 12:04:06 PDT,+2778358.58368,+2176876.09243,+1147004.8688,+828715.393117,+737430.990219,+651095.131866,+893922.724658,+697065.567449
2001-08-01 12:04:07 PDT,+2778358.5838,+2176876.09304,+1147004.86927,+828715.394857,+737430.990101,+651095.130767,+893922.724427,+697065.567415
